category,chapter,axis,confidence,outcome,score
4.12,2,Interiority,,N/A,
4.12,2,Attention,,N/A,
4.12,2,Silence,,N/A,
4.12,2,Signature,,N/A,
4.12,3,Duration,,N/A,
4.12,3,Register,,N/A,
4.12,3,Concreteness,,N/A,
4.12,3,Interiority,,N/A,
4.12,3,Attention,,N/A,
4.12,3,Silence,,N/A,
4.12,3,Signature,,N/A,
4.12,4,Duration,,N/A,
4.12,4,Register,,N/A,
4.12,4,Concreteness,,N/A,
4.12,4,Interiority,,N/A,
4.12,4,Attention,,N/A,
4.12,4,Silence,,N/A,
4.12,4,Signature,,N/A,
4.12,5,Duration,,N/A,
4.12,5,Register,,N/A,
4.12,5,Concreteness,,N/A,
4.12,5,Interiority,,N/A,
4.12,5,Attention,,N/A,
4.12,5,Silence,,N/A,
4.12,5,Signature,,N/A,
4.12,6,Duration,,N/A,
4.12,6,Register,,N/A,
4.12,6,Concreteness,,N/A,
4.12,6,Interiority,,N/A,
4.12,6,Attention,,N/A,
4.12,6,Silence,,N/A,
4.12,6,Signature,,N/A,
4.12,7,Duration,,N/A,
4.12,7,Register,,N/A,
4.12,7,Concreteness,,N/A,
4.12,7,Interiority,,N/A,
4.12,7,Attention,,N/A,
4.12,7,Silence,,N/A,
4.12,7,Signature,,N/A,
4.12,8,Duration,high,VIOLATED,2
4.12,8,Register,high,VIOLATED,2
4.12,8,Concreteness,high,VIOLATED,2
4.12,8,Interiority,high,VIOLATED,2
4.12,8,Attention,high,VIOLATED,2
4.12,8,Silence,high,VIOLATED,2
4.12,8,Signature,high,VIOLATED,2
4.12,9,Duration,high,CONFIRMED,0
4.12,9,Register,high,CONFIRMED,0
4.12,9,Concreteness,high,CONFIRMED,0
4.12,9,Interiority,high,PARTIAL,1
4.12,9,Attention,high,PARTIAL,1
4.12,9,Silence,high,CONFIRMED,0
4.12,9,Signature,high,CONFIRMED,0
4.12,10,Duration,high,CONFIRMED,0
4.12,10,Register,high,CONFIRMED,0
4.12,10,Concreteness,high,PARTIAL,1
4.12,10,Interiority,high,CONFIRMED,0
4.12,10,Attention,high,CONFIRMED,0
4.12,10,Silence,high,VIOLATED,2
4.12,10,Signature,high,PARTIAL,1
4.12,11,Duration,high,CONFIRMED,0
4.12,11,Register,high,PARTIAL,1
4.12,11,Concreteness,high,VIOLATED,2
4.12,11,Interiority,high,VIOLATED,2
4.12,11,Attention,high,VIOLATED,2
4.12,11,Silence,high,VIOLATED,2
4.12,11,Signature,high,VIOLATED,2
4.12,12,Duration,,N/A,
4.12,12,Register,,N/A,
4.12,12,Concreteness,,N/A,
4.12,12,Interiority,,N/A,
4.12,12,Attention,,N/A,
4.12,12,Silence,,N/A,
4.12,12,Signature,,N/A,
5,1,Duration,,N/A,
5,1,Register,,N/A,
5,1,Concreteness,high,VIOLATED,2
5,1,Interiority,high,CONFIRMED,0
5,1,Attention,high,VIOLATED,2
5,1,Silence,high,VIOLATED,2
5,1,Signature,high,PARTIAL,1
5,2,Duration,,N/A,
5,2,Register,,N/A,
5,2,Concreteness,high,CONFIRMED,0
5,2,Interiority,high,PARTIAL,1
5,2,Attention,high,CONFIRMED,0
5,2,Silence,,N/A,
5,2,Signature,high,CONFIRMED,0
5,3,Duration,high,VIOLATED,2
5,3,Register,,N/A,
5,3,Concreteness,high,PARTIAL,1
5,3,Interiority,high,CONFIRMED,0
5,3,Attention,high,CONFIRMED,0
5,3,Silence,,N/A,
5,3,Signature,high,VIOLATED,2
5,4,Duration,high,VIOLATED,2
5,4,Register,,N/A,
5,4,Concreteness,high,CONFIRMED,0
5,4,Interiority,high,CONFIRMED,0
5,4,Attention,,N/A,
5,4,Silence,high,CONFIRMED,0
5,4,Signature,high,PARTIAL,1
5,5,Duration,high,VIOLATED,2
5,5,Register,,N/A,
5,5,Concreteness,high,PARTIAL,1
5,5,Interiority,high,CONFIRMED,0
5,5,Attention,high,CONFIRMED,0
5,5,Silence,high,CONFIRMED,0
5,5,Signature,high,PARTIAL,1
5,6,Duration,high,VIOLATED,2
5,6,Register,,N/A,
5,6,Concreteness,,N/A,
5,6,Interiority,high,PARTIAL,1
5,6,Attention,high,PARTIAL,1
5,6,Silence,,N/A,
5,6,Signature,high,CONFIRMED,0
5,7,Duration,med,VIOLATED,1.5
5,7,Register,,N/A,
5,7,Concreteness,med,CONFIRMED,0
5,7,Interiority,med,CONFIRMED,0
5,7,Attention,med,PARTIAL,1
5,7,Silence,,N/A,
5,7,Signature,med,PARTIAL,1
5,8,Duration,,N/A,
5,8,Register,,N/A,
5,8,Concreteness,high,PARTIAL,1
5,8,Interiority,,N/A,
5,8,Attention,high,PARTIAL,1
5,8,Silence,,N/A,
5,8,Signature,high,CONFIRMED,0
5,9,Duration,high,PARTIAL,1
5,9,Register,,N/A,
5,9,Concreteness,,N/A,
5,9,Interiority,high,PARTIAL,1
5,9,Attention,,N/A,
5,9,Silence,high,PARTIAL,1
5,9,Signature,high,CONFIRMED,0
5,10,Duration,,N/A,
5,10,Register,,N/A,
5,10,Concreteness,high,VIOLATED,2
5,10,Interiority,,N/A,
5,10,Attention,high,VIOLATED,2
5,10,Silence,,N/A,
5,10,Signature,high,PARTIAL,1
5,11,Duration,high,PARTIAL,1
5,11,Register,high,VIOLATED,2
5,11,Concreteness,high,CONFIRMED,0
5,11,Interiority,high,VIOLATED,2
5,11,Attention,high,VIOLATED,2
5,11,Silence,high,CONFIRMED,0
5,11,Signature,high,VIOLATED,2
5,12,Duration,,N/A,
5,12,Register,,N/A,
5,12,Concreteness,,N/A,
5,12,Interiority,,N/A,
5,12,Attention,,N/A,
5,12,Silence,,N/A,
5,12,Signature,,N/A,
6,1,Duration,,N/A,
6,1,Register,,N/A,
6,1,Concreteness,high,VIOLATED,2
6,1,Interiority,high,CONFIRMED,0
6,1,Attention,high,PARTIAL,1
6,1,Silence,high,CONFIRMED,0
6,1,Signature,high,CONFIRMED,0
6,2,Duration,high,VIOLATED,2
6,2,Register,,N/A,
6,2,Concreteness,high,VIOLATED,2
6,2,Interiority,high,CONFIRMED,0
6,2,Attention,high,VIOLATED,2
6,2,Silence,high,VIOLATED,2
6,2,Signature,high,PARTIAL,1
6,3,Duration,high,VIOLATED,2
6,3,Register,high,VIOLATED,2
6,3,Concreteness,high,VIOLATED,2
6,3,Interiority,high,VIOLATED,2
6,3,Attention,high,VIOLATED,2
6,3,Silence,high,VIOLATED,2
6,3,Signature,high,VIOLATED,2
6,4,Duration,,N/A,
6,4,Register,high,CONFIRMED,0
6,4,Concreteness,high,CONFIRMED,0
6,4,Interiority,high,VIOLATED,2
6,4,Attention,high,VIOLATED,2
6,4,Silence,high,PARTIAL,1
6,4,Signature,high,VIOLATED,2
6,5,Duration,high,VIOLATED,2
6,5,Register,high,CONFIRMED,0
6,5,Concreteness,high,CONFIRMED,0
6,5,Interiority,high,CONFIRMED,0
6,5,Attention,high,CONFIRMED,0
6,5,Silence,high,CONFIRMED,0
6,5,Signature,high,CONFIRMED,0
6,6,Duration,,N/A,
6,6,Register,high,CONFIRMED,0
6,6,Concreteness,high,CONFIRMED,0
6,6,Interiority,high,CONFIRMED,0
6,6,Attention,high,PARTIAL,1
6,6,Silence,high,CONFIRMED,0
6,6,Signature,high,VIOLATED,2
6,7,Duration,,N/A,
6,7,Register,med,VIOLATED,1.5
6,7,Concreteness,med,VIOLATED,1.5
6,7,Interiority,med,VIOLATED,1.5
6,7,Attention,med,VIOLATED,1.5
6,7,Silence,med,PARTIAL,1
6,7,Signature,med,VIOLATED,1.5
6,8,Duration,,N/A,
6,8,Register,,N/A,
6,8,Concreteness,med,PARTIAL,1
6,8,Interiority,med,VIOLATED,1.5
6,8,Attention,med,CONFIRMED,0
6,8,Silence,med,PARTIAL,1
6,8,Signature,med,CONFIRMED,0
6,9,Duration,high,PARTIAL,1
6,9,Register,,N/A,
6,9,Concreteness,high,CONFIRMED,0
6,9,Interiority,high,CONFIRMED,0
6,9,Attention,high,CONFIRMED,0
6,9,Silence,high,CONFIRMED,0
6,9,Signature,high,CONFIRMED,0
6,10,Duration,high,VIOLATED,2
6,10,Register,high,CONFIRMED,0
6,10,Concreteness,high,VIOLATED,2
6,10,Interiority,high,CONFIRMED,0
6,10,Attention,high,VIOLATED,2
6,10,Silence,high,CONFIRMED,0
6,10,Signature,high,VIOLATED,2
6,11,Duration,,N/A,
6,11,Register,,N/A,
6,11,Concreteness,,N/A,
6,11,Interiority,low,CONFIRMED,0
6,11,Attention,low,CONFIRMED,0
6,11,Silence,,N/A,
6,11,Signature,,N/A,
6,12,Duration,,N/A,
6,12,Register,,N/A,
6,12,Concreteness,,N/A,
6,12,Interiority,,N/A,
6,12,Attention,,N/A,
6,12,Silence,,N/A,
6,12,Signature,,N/A,
